driver_id,status,initiated_date,resolved_date,flag_reason
D-1001,cleared,2026-06-22,2026-07-09,
D-1002,cleared,2026-06-27,2026-07-08,
D-1003,in_progress,2026-06-23,,
D-1004,not_started,,,
D-1005,not_started,,,
D-1006,not_started,,,
D-1007,cleared,2026-06-28,2026-07-07,
D-1008,in_progress,2026-06-10,,
D-1009,in_progress,2026-06-14,,
D-1010,in_progress,2026-06-19,,
D-1011,flagged,2026-06-16,2026-07-08,Older minor traffic violation
D-1012,not_started,,,
D-1013,not_started,,,
D-1014,not_started,,,
D-1015,cleared,2026-06-22,2026-07-07,
D-1016,cleared,2026-06-21,2026-07-08,
D-1017,not_started,,,
D-1018,not_started,,,
D-1019,cleared,2026-06-25,2026-07-09,
D-1020,not_started,,,
D-1021,not_started,,,
D-1022,in_progress,2026-06-19,,
D-1023,not_started,,,
D-1024,not_started,,,
D-1025,cleared,2026-06-21,2026-07-06,
D-1026,in_progress,2026-06-14,,
D-1027,not_started,,,
D-1028,in_progress,2026-06-23,,
D-1029,not_started,,,
D-1030,cleared,2026-06-22,2026-07-09,
D-1031,not_started,,,
D-1032,not_started,,,
D-1033,cleared,2026-06-10,2026-07-07,
D-1034,cleared,2026-06-11,2026-07-08,
D-1035,not_started,,,
D-1036,cleared,2026-06-28,2026-07-09,
D-1037,not_started,,,
D-1038,not_started,,,
D-1039,not_started,,,
D-1040,in_progress,2026-06-23,,
